address,quantity
0x0433d22a8b56beb764d600e332a08e0de7b3de90,20
0x04fd414cacdbd8742c8adc46230bb11445203c99,5
0x0815edf1b6b10b8ced00a5e58634ec563197fa12,5
0x095ce1a6a1a916c0f13271bc40e6b0a6bb9186f7,5
0x0ad3a19a2a9d1b373b72a5740cdea8d544ccfe07,25
0x0b5e2a93048f07465fd2b8bf37ba23a3098ce688,5
0x0d469fa1c2c820ec81bc159ae97b1c0735c407b3,50
0x0fb75d5eed63423019c8b368712a74727c2aadf3,5
0x14f02a817c69bed67d6ebf05f0440107fb3f0568,10
0x1563c4751ad2be48fd17464b73585b6ba8b6a5f0,40
0x195e289e6cff2a602e132a95d741212bfcaaac0c,10
0x1a0e11ba1e2b85dca648fae5c0a4f8c36cbc0937,5
0x247f0f627255d451afefc96969f67b3bdc9bc524,10
0x26dcb0d7d48aa979da81f2fce331ce6e028b00d7,5
0x2b01b877ba23f153536e10cabf64e330099291eb,15
0x2b854146a89933deb92b5b1e3326f53ab1a82406,25
0x3235164f2f5627b2606cebbd8065c8a419955c6d,135
0x37c37d2d94bb3d01e0935d43184d8608a167c3b2,10
0x39c4274ced5681802b2ad9fc83ec6b9d53f8a637,10
0x3a54157ac9f5e678dd410c668d2a7502ddc08645,10
0x3d7a8b323aa8c6d2874bbb77cd7cff0f4acd3082,25
0x436ff0e7e5bdfa465a06d94b71c9635854169b68,10
0x4533e03d983fae04741131c5f7cb35f1b32a1acd,15
0x461b87b6669c08dc8f1b2c001f46f2a774a4bca9,15
0x469397e0e5e800ad4fb3f0f2011973ba808b0f0f,60
0x46ec3b933283a14a8f3c7e2d9a8086b4f592c3c6,5
0x47bb22dbc8d097dd48bf59bc3475c120cbb1a901,5
0x4b222b60f4731382b630365bc900d90264e5be3b,5
0x4c7b4b097f37354694d6e313ff372ef8e351e2db,20
0x4d614298209723d25a1ee385730b9e4586041948,5
0x4d704326cdc6a0ef291db71fd71c87f94f8c385b,10
0x50d398268762dd37b5b5acba486b9aedd8f6d8ce,5
0x579c0c05b15e9268e33f00a49aec8b7cdb8c4f27,25
0x5fe986e026d348135d76cd1ccb83a7c47d727834,10
0x62c6e060ea69b7c6d145b73bc834ede9a1b7eed8,45
0x65cec720ac2ee4e2a3ded3f6617332b373bccf27,5
0x66d45a4ea62d3f1335632c0c254004d05e9701f6,5
0x68aedee7dc9da33a1e7d32a6637361e409c40519,5
0x6a72e4ca8d36b1c10d89ea1e9397a6ce70454524,5
0x6c0d470d97ef1f230eef10a5c848afcc8261ed67,5
0x6cb2fc304d504acc815203b3009cbf4dbc21985a,5
0x6ce14ce898d67a38dd433084a946ccbd903325a5,5
0x72f4e8b893527e3884bb4ac5a28d5fc65172ec4a,5
0x744e9465b5f5a1a2f8d5118ed383b1d8f02349ab,10
0x752d5a59d9cd3ed8af87e0c8939d5d19db168331,5
0x760412cd0787a6295ed3a9ee02a22f8c76c5c705,5
0x77c681753979400dc7310b770e88d9c823d1d808,30
0x77fc3656464ec745c2fdcb9d107ecc3e9b7dc87c,10
0x7a3f167a0ad545ef249603e9453ce52655dbff0f,10
0x7e2b5d5f2b48032022b4d6a085ac20474dc7e958,5
0x7e45ac061ca96b3995cd6730a0211816fbd5f77e,10
0x823b6b8da270906f0a231223e46edb5bdea3ff13,25
0x8271540fc8de28594c5050dd5aeef91cd14a372a,5
0x827d3a2e6c8841fedf920e6123a6683c93142275,5
0x83a7b23f096e48357f98518e396530f416dc0b73,40
0x85b347f46f62447aaa0ff7b4f070b37fd91d2f2f,210
0x87714f1a346d3229da42f01226935b777f3eaa43,5
0x883ce32e186c69559e94c8ba276bfc4322fc194a,45
0x89cff61026f6743b8d25ae9b253582083136b1c4,210
0x8c695d728b426e7a16052e32e8ca72777ed51fbf,10
0x92425329401f8b1e7884be195784daf12ecbf297,10
0x93cbf59774e566ad1f423a3ac565d9996cd03db8,10
0x97e24810ae6914d29d89e79ce3e663d83f20d0bb,5
0x9950dd62617f6123551aa61de4a31a0dee02a4e9,55
0x99b40359ee36c49de77e4a62be3cefaab4fb33e8,5
0x9ab6f1202e39d65b8b4192445a714ee39ae203b1,105
0x9e138c3c1249f1627168d02359a4ba82e5f2ebd4,10
0xa2f7ee60f19be79f53f8ac28badfe5081642bfee,5
0xa6e950aa70ebaaf99686a5d95afe8aca8b5e353b,5
0xaa833edd8dafeff9ff8aa673cddbd49c4e508f57,30
0xac1b80e06f970879bfb8f2b92b59442593f332b6,85
0xadb1bac572786e213e31c2059879e802a0cf84c0,75
0xae327180b0722fca7d8f1c17f4589de8bc3084b4,20
0xaf24327ea0e357956e0b0ec137a62aeb5bf6d0a5,50
0xaf356c5f80ba9c1c1fc439a09c3d23c63e48c53f,5
0xb11495b1656263bf65228b9238663ebc62f843dc,5
0xb52b59da427ce8d53fb6be11c984b3ccbf18d84f,5
0xb874c4745e9704247b8e33652dbec0800ee21f91,5
0xb8b5cc4e199266b91ace045dc20ce54a49dd51b0,10
0xb9a0303f477e64e65bd974e4685872efdbf1cfbf,5
0xb9ac750bf77f5fa620d40100936811feab90caf6,10
0xba306a0b643cb9eba66ae1c5b45f41a3ecc921e2,10
0xba84ba276d94fb7c51eeec4f2c4b584d9fcc6417,5
0xbaf347957cefc99027af15a8ef4bc50ad1a56990,10
0xbfe709589e8fde046fc6d60edbd2bce1299e76a9,10
0xc49f6640011c84d337671119fee3746492b3f593,10
0xc4ce4f0c5c557ed3b22cf35abe046fb6ad8b4386,10
0xc5ade68f840a7bdb90ba6dfcd2dd378e72e5bba6,10
0xd4ca4cf1a0baac23cf884df165002f483884b13c,5
0xd57497aed2324517f801b5cf8269edf996907a82,5
0xd653971fa19ef68bc80becb7720675307bfb3ee6,5
0xd93bab51cd83881ce1228650b9798ee8fc3e746c,15
0xd9a05df6f9f5ec6f3065f10968e208b399b5b18d,15
0xda944123a5f5e970f9d6f9c21c54968c87de6d0b,5
0xde6d59a1bac947ca7d320859c8354b42d521cc87,5
0xe1012545c9e5148a712962320bc2519412d41b2b,5
0xe45ae2fc6f28c7b0b8aba6f844f95d6b052c7dee,10
0xe677436fe3d867d40053acee4f098f1bbd3d9522,5
0xea698f1ef70ea77112fc74570c0cf468cf8c38e6,5
0xea869669210a69b035b382e0f2a498b87dc6a45c,5
0xeda5942831bd8b391c52fd7896a123e9d2add51a,5
0xf2e4a05cbae83fb3173becee7a31686e8a6ae3ce,45
